time,seconds_elapsed,z,y,x
1782891174010511400,0.067511474609375,1.9575499296188354,-2.479008436203003,-0.6145899295806885
1782891174020533200,0.077533203125,2.0660922527313232,-2.64473295211792,-0.7183405756950378
1782891174030555100,0.08755517578125,2.094038963317871,-2.8523104190826416,-0.8727700710296631
1782891174040577500,0.09757763671875,2.0361533164978027,-3.0405831336975098,-1.0919535160064697
1782891174050599400,0.107599365234375,1.9648029804229736,-3.1622064113616943,-1.3768014907836914
1782891174060621300,0.117621337890625,1.8900991678237915,-3.139228105545044,-1.655368447303772
1782891174070643500,0.1276435546875,1.7742916345596313,-2.944915533065796,-1.8475128412246704
1782891174080665300,0.137665283203125,1.6569373607635498,-2.764192819595337,-2.010817527770996
1782891174090687200,0.147687255859375,1.596251130104065,-2.5458431243896484,-2.150635242462158
1782891174100709000,0.157709228515625,1.5715878009796143,-2.2583987712860107,-2.256387233734131
1782891174110731300,0.167731201171875,1.5134515762329102,-1.8985902070999146,-2.325205087661743
1782891174120753400,0.17775341796875,1.4390984773635864,-1.2135300636291504,-2.2564401626586914
1782891174130775300,0.187775390625,1.440123200416565,-0.35480496287345886,-2.0600507259368896
1782891174140797400,0.19779736328125,1.4518251419067383,0.39739662408828735,-1.8032010793685913
1782891174150819300,0.2078193359375,1.3669781684875488,0.5740835070610046,-1.5604482889175415
1782891174160841200,0.21784130859375,1.1446417570114136,-0.2690482437610626,-1.2568330764770508
1782891174170863400,0.22786328125,0.7913599014282227,-1.4787585735321045,-0.827713668346405
1782891174180885200,0.23788525390625,0.4293878376483917,-2.416095733642578,-0.4637434184551239
1782891174190907100,0.2479072265625,0.32830357551574707,-2.8238205909729004,-0.2614276111125946
1782891174200930300,0.257930419921875,0.4220806658267975,-2.753790855407715,-0.18772675096988678
1782891174210952200,0.2679521484375,0.5269924402236938,-2.3984627723693848,-0.20880568027496338
1782891174220974000,0.27797412109375,0.5880089402198792,-1.8948665857315063,-0.28674787282943726
1782891174230996000,0.287995849609375,0.5754315853118896,-1.3229916095733643,-0.4187906086444855
1782891174241018000,0.29801806640625,0.5104014873504639,-0.8444694876670837,-0.556113064289093
1782891174251040000,0.3080400390625,0.4038180410861969,-0.4822816848754883,-0.6164091229438782
1782891174261062000,0.318061767578125,0.32688143849372864,-0.39507994055747986,-0.5745583772659302
1782891174271083800,0.328083740234375,0.26575392484664917,-0.4424099028110504,-0.4660973846912384
1782891174281106000,0.33810595703125,0.232593834400177,-0.4400295615196228,-0.3515881299972534
1782891174291127800,0.3481279296875,0.2289104163646698,-0.3665952980518341,-0.22910162806510925
1782891174301150000,0.35814990234375,0.23636725544929504,-0.23077276349067688,-0.10323663800954819
1782891174311172000,0.368172119140625,0.23414991796016693,-0.10621938109397888,0.05927078053355217
1782891174321194000,0.378194091796875,0.23067955672740936,-0.0737336054444313,0.24365660548210144
1782891174331216000,0.3882158203125,0.2203534096479416,-0.10805536061525345,0.4063996970653534
1782891174341238000,0.398238037109375,0.20419734716415405,-0.18673260509967804,0.5007078647613525
1782891174351260000,0.408260009765625,0.17375288903713226,-0.22680091857910156,0.4951639473438263
1782891174361281800,0.41828173828125,0.11933917552232742,-0.2366468906402588,0.4007665812969208
1782891174371304000,0.428303955078125,0.0663990005850792,-0.21358764171600342,0.2731122374534607
1782891174381326000,0.438326171875,0.03804325684905052,-0.18171413242816925,0.14828187227249146
1782891174391348000,0.448347900390625,0.009681389667093754,-0.12742292881011963,0.05952058359980583
1782891174401371000,0.458370849609375,-0.01239302009344101,-0.08710640668869019,0.01703118160367012
1782891174411393000,0.46839306640625,-0.03461390361189842,-0.06441307812929153,0.0062219430692493916
1782891174421415000,0.478414794921875,-0.040886446833610535,-0.05987505242228508,0.03644988685846329
1782891174431437000,0.48843701171875,-0.039987631142139435,-0.06683788448572159,0.08283096551895142
1782891174441459000,0.498458984375,-0.025673406198620796,-0.07957018911838531,0.12315148860216141
1782891174451480800,0.508480712890625,-0.027187945321202278,-0.08941510319709778,0.15435229241847992
1782891174461503000,0.5185029296875,-0.03032142110168934,-0.09672574698925018,0.1753007173538208
1782891174471524900,0.52852490234375,-0.03392867371439934,-0.09397496283054352,0.19672664999961853
1782891174481546800,0.538546630859375,-0.03332919627428055,-0.07652167230844498,0.22355027496814728
1782891174491569200,0.548569091796875,-0.03964301571249962,-0.04242255911231041,0.22934743762016296
1782891174501591000,0.558591064453125,-0.05253671109676361,-0.002853044541552663,0.20760512351989746
1782891174511613000,0.568613037109375,-0.06572681665420532,0.034274615347385406,0.1610669195652008
1782891174521635000,0.578635009765625,-0.06875456124544144,0.0750526711344719,0.10699542611837387
1782891174531657000,0.588656982421875,-0.06079064682126045,0.11406105756759644,0.05271860584616661
1782891174541678800,0.598678955078125,-0.0443248525261879,0.13270850479602814,0.0020700751338154078
1782891174551700700,0.60870068359375,-0.025963690131902695,0.12638457119464874,-0.02468111179769039
1782891174561723000,0.618722900390625,-0.011147459968924522,0.12769031524658203,-0.02310159057378769
1782891174571745000,0.6287451171875,-0.004072505980730057,0.14006416499614716,-0.008978581055998802
1782891174581767000,0.638766845703125,-0.005191033706068993,0.1571778953075409,0.003837881376966834
1782891174591789000,0.6487890625,-0.005240834783762693,0.17981263995170593,-0.0019345202017575502
1782891174601812000,0.65881201171875,-0.013540842570364475,0.21558421850204468,-0.007936219684779644
1782891174611834000,0.668834228515625,-0.02503131702542305,0.25646746158599854,-0.02623160369694233
1782891174621856000,0.67885595703125,-0.02906733751296997,0.27192312479019165,-0.04123212397098541
1782891174631878000,0.6888779296875,-0.03496197983622551,0.27928516268730164,-0.04831160604953766
1782891174641899800,0.698899658203125,-0.03407088667154312,0.2695164382457733,-0.04755393788218498
1782891174651922000,0.708921875,-0.02594211883842945,0.24029488861560822,-0.0427866131067276
1782891174661943800,0.71894384765625,-0.012878780253231525,0.2219821959733963,-0.03175553306937218
1782891174671966000,0.728966064453125,-0.010159692727029324,0.2142220139503479,-0.027053987607359886
1782891174681988000,0.738988037109375,-0.004994226153939962,0.20236988365650177,-0.03591645509004593
1782891174692010000,0.749010009765625,-0.0035603800788521767,0.19425523281097412,-0.03551218658685684
1782891174702032000,0.759031982421875,-0.005560680292546749,0.17876096069812775,-0.02057664841413498
1782891174712054000,0.769053955078125,-0.011728295125067234,0.15711557865142822,-0.010588462464511395
1782891174722076000,0.779075927734375,-0.011166101321578026,0.13751551508903503,-0.0043657198548316956
1782891174732097800,0.789097900390625,-0.006044842768460512,0.12477575242519379,-0.009409480728209019
1782891174742120000,0.799119873046875,-0.004947886802256107,0.10249734669923782,-0.029017802327871323
1782891174752142000,0.80914208984375,-0.007552724797278643,0.07492271065711975,-0.05329384654760361
1782891174762164000,0.8191640625,-0.012377041392028332,0.051244545727968216,-0.0691889226436615
1782891174772186000,0.82918603515625,-0.01751055009663105,0.04375147446990013,-0.06728103756904602
1782891174782208000,0.8392080078125,-0.020374514162540436,0.04412458464503288,-0.05692826211452484
1782891174792231000,0.84923095703125,-0.02743775025010109,0.038063760846853256,-0.0404379703104496
1782891174802253000,0.859253173828125,-0.024297615513205528,0.026635872200131416,-0.029564550146460533
1782891174812275000,0.86927490234375,-0.012820457108318806,0.005662412848323584,-0.016439693048596382
1782891174822296800,0.879296875,-0.004502872936427593,-0.014512630179524422,-0.006184925325214863
1782891174832319000,0.889319091796875,0.006777478381991386,-0.026273416355252266,0.0037766287568956614
1782891174842340900,0.8993408203125,0.00998898409307003,-0.0305805467069149,0.003388606244698167
1782891174852362800,0.90936279296875,0.010695254430174828,-0.014795191586017609,-0.009828928858041763
1782891174862385200,0.91938525390625,0.012888900935649872,0.005084773525595665,-0.028187163174152374
1782891174872407000,0.929406982421875,0.016684437170624733,0.02574850618839264,-0.056841444224119186
1782891174882429000,0.939428955078125,0.014882010407745838,0.04273281618952751,-0.07668066024780273
1782891174892451000,0.949451171875,0.022068550810217857,0.04526468366384506,-0.0929776132106781
1782891174902473000,0.959472900390625,0.01817713864147663,0.029166674241423607,-0.10080890357494354
1782891174912494800,0.969494873046875,0.012366920709609985,-0.006684534251689911,-0.09627433866262436
1782891174922516700,0.979516845703125,0.012411662377417088,-0.044260405004024506,-0.07178710401058197
1782891174932539000,0.989538818359375,0.01896117441356182,-0.055448345839977264,-0.03490632027387619
1782891174942561000,0.99956103515625,0.018615761771798134,-0.05520147085189819,-0.0016695356462150812
1782891174952583000,1.0095830078125,0.0136023610830307,-0.04652648791670799,0.021273063495755196
1782891174962605000,1.01960498046875,0.008598548360168934,-0.03152143955230713,0.03039039671421051
1782891174972627000,1.029626953125,0.0008847020799294114,-0.02197134494781494,0.022912239655852318
1782891174982648800,1.03964892578125,-0.003282346064224839,-0.022006232291460037,-0.0006159891490824521
1782891174992672000,1.049672119140625,-0.0038136467337608337,-0.02009567990899086,-0.022827284410595894
1782891175002694000,1.05969384765625,0.0035662390291690826,-0.007837682962417603,-0.04162547364830971
1782891175012716000,1.069716064453125,0.010752246715128422,-0.003032541600987315,-0.05873255431652069
1782891175022738000,1.079738037109375,0.013048956170678139,0.0052168662659823895,-0.06620591878890991
1782891175032759800,1.089759765625,0.014630608260631561,0.02244938164949417,-0.061819691210985184
1782891175042782000,1.099781982421875,0.01852734573185444,0.03401415795087814,-0.0548081211745739
1782891175052804000,1.10980419921875,0.014674017205834389,0.035239480435848236,-0.05153056979179382
1782891175062826000,1.119825927734375,0.009675797075033188,0.02286776527762413,-0.04542500525712967
1782891175072848000,1.129847900390625,0.002865028567612171,0.013363209553062916,-0.029581859707832336
1782891175082870000,1.1398701171875,0.003570500062778592,0.0000015978966985130683,-0.006669886875897646
1782891175092892000,1.149891845703125,0.010212955996394157,-0.010995392687618732,0.014399978332221508
1782891175102913800,1.159913818359375,0.017673801630735397,-0.01375016663223505,0.02714107371866703
1782891175112936000,1.16993603515625,0.01871696300804615,-0.012883841060101986,0.03256060555577278
1782891175122957800,1.179957763671875,0.013746438547968864,-0.0011291803093627095,0.026310699060559273
1782891175132980000,1.18997998046875,0.010967696085572243,0.014766695909202099,0.014682273380458355
1782891175143002000,1.200002197265625,0.011298993602395058,0.028843631967902184,0.0005965480813756585
1782891175153024000,1.21002392578125,0.015340340323746204,0.023745276033878326,-0.00615243474021554
1782891175163046000,1.2200458984375,0.016806410625576973,0.021525265648961067,-0.0031007183715701103
1782891175173068000,1.230068115234375,0.02335166186094284,0.02051832526922226,0.007870705798268318
1782891175183090000,1.24008984375,0.02304193563759327,0.02640737220644951,0.01685168407857418
1782891175193112800,1.25011279296875,0.020074108615517616,0.03074273280799389,0.021501030772924423
1782891175203135000,1.260135009765625,0.010203901678323746,0.04316424950957298,0.019955065101385117
1782891175213156900,1.270156982421875,0.008155398070812225,0.05391436442732811,0.009549562819302082
1782891175223179000,1.280178955078125,0.0044259075075387955,0.05997225642204285,0.002264485927298665
1782891175233201200,1.290201171875,-0.0021939121652394533,0.05851151421666145,-0.0065588331781327724
1782891175243223300,1.300223388671875,-0.0049462891183793545,0.049920421093702316,-0.009099222719669342
1782891175253245200,1.3102451171875,-0.011067830957472324,0.05783000960946083,-0.021193435415625572
1782891175263267300,1.320267333984375,-0.01595499739050865,0.06944432109594345,-0.04231336712837219
1782891175273289200,1.330289306640625,-0.016278039664030075,0.07436584681272507,-0.060142431408166885
1782891175283311000,1.34031103515625,-0.015398397110402584,0.06725387275218964,-0.064162477850914
1782891175293333200,1.350333251953125,-0.016102537512779236,0.05594582483172417,-0.06054350361227989
1782891175303355100,1.360355224609375,-0.01859791949391365,0.03197098150849342,-0.04686390981078148
1782891175313377000,1.370376953125,-0.018631208688020706,0.015092399902641773,-0.02738848142325878
1782891175323399400,1.3803994140625,-0.022222748026251793,0.004622182343155146,-0.0039044604636728764
1782891175333421300,1.39042138671875,-0.02286803163588047,-0.004426972474902868,0.010773285292088985
1782891175343443200,1.400443115234375,-0.016893496736884117,-0.0008029430755414069,0.024892034009099007
1782891175353465000,1.410465087890625,-0.009843575768172741,0.00896846130490303,0.02533092349767685
1782891175363487200,1.4204873046875,-0.002252235310152173,0.006822219584137201,0.020684238523244858
1782891175373509000,1.430509033203125,0.011484349146485329,-0.0005675196298398077,0.018702048808336258
1782891175383531000,1.440531005859375,0.023604661226272583,-0.019661052152514458,0.015291337855160236
1782891175393554200,1.45055419921875,0.036678653210401535,-0.0413849912583828,0.011166101321578026
1782891175403576000,1.460576171875,0.04416133463382721,-0.061461761593818665,0.0006881608278490603
