time,seconds_elapsed,z,y,x
1782891391496584400,0.07258447265625,0.23431962800621986,1.6636667869478463,1.6101977932192384
1782891391506606300,0.0826064453125,0.6015723932087421,1.4950322217732668,1.3524848685353994
1782891391516628200,0.092628173828125,0.9591536592245101,1.2129483875513076,1.0753504734143615
1782891391526650400,0.102650390625,1.1924018586069345,1.0668781208842992,0.5331657233934849
1782891391536672300,0.11267236328125,1.10007370352149,0.8095891207009553,0.05807685285024344
1782891391546694400,0.1226943359375,0.8597849379777908,0.5244979213565588,-0.30875169559083876
1782891391556716500,0.132716552734375,0.7390390821814536,0.45924657376706596,-0.7782152005329728
1782891391566738400,0.142738525390625,0.6404051049500703,0.3697995270758867,-1.086850941593945
1782891391576760300,0.15276025390625,0.6119488257944583,0.39904987921863794,-1.1530057408291845
1782891391586781200,0.16278125,0.6387316187798977,0.5176476170703769,-1.14439113028422
1782891391596803300,0.17280322265625,0.7293985626548528,0.6369079104840755,-1.0633186017718166
1782891391606825500,0.182825439453125,0.8951204552531242,0.6161050686910748,-0.8056367298133671
1782891391616847400,0.192847412109375,0.9054822747915983,0.4073430757895112,-0.6059756696689873
1782891391626869500,0.202869384765625,0.9131763364255427,0.17936726385205984,-0.5658546351501718
1782891391636891400,0.212891357421875,0.9115110335618257,-0.06478022294640541,-0.5625368523716926
1782891391646913300,0.222913330078125,0.7003665294378996,-0.36993075224012134,-0.700122345418483
1782891391656935400,0.232935302734375,0.33199031316339966,-0.665842620806396,-0.953511415553838
1782891391666957300,0.242957275390625,-0.07238193012177943,-0.96533643951267,-1.0912550217717885
1782891391676979200,0.252979248046875,-0.6622843438029289,-1.2343491952374577,-0.9663632983423769
1782891391687001300,0.26300146484375,-1.3139035012066365,-1.2868003902256488,-0.749090812857449
1782891391697023500,0.2730234375,-1.6843658761054277,-1.1116522053733466,-0.35314006869792935
1782891391707045400,0.28304541015625,-1.9352701436877249,-0.9557862286180258,0.18532763356119394
1782891391717067500,0.293067626953125,-2.1241011091947555,-0.9031193450525402,0.483189467151463
1782891391727089400,0.30308935546875,-2.3006278889238834,-0.874904181176424,0.43005306637808677
1782891391737110300,0.3131103515625,-2.4083014971792696,-0.769488288719952,-0.04108297488614916
1782891391747132400,0.32313232421875,-2.4483938535928726,-0.7064137006476521,-0.6003066110566259
1782891391757154600,0.333154541015625,-2.3840210424035786,-0.6758814920008183,-1.0792952655173838
1782891391767176400,0.343176513671875,-2.1594208443790675,-0.63481064594388,-1.5265312296256421
1782891391777198300,0.3531982421875,-1.888036683347821,-0.7057043833345175,-1.8123583420291542
1782891391787220500,0.363220458984375,-1.6764847674667833,-0.8441618369102477,-2.0615162043355406
1782891391797242400,0.373242431640625,-1.5314742389857767,-0.9116945734351873,-2.3502865305840968
1782891391807264300,0.38326416015625,-1.4441156890064477,-0.8880614766523242,-2.553545249894261
1782891391817286100,0.3932861328125,-1.2363134810477494,-0.7521765039131045,-2.6709637148335577
1782891391827308500,0.40330859375,-0.9239408915460109,-0.5873115204051137,-2.6363918754070994
1782891391837330400,0.413330322265625,-0.5896352871775626,-0.40889907305985684,-2.494103465366363
1782891391847352300,0.423352294921875,-0.25711539718210696,-0.21547581132650373,-2.364475214934349
1782891391857374500,0.43337451171875,0.013589549413323401,-0.11737287223190068,-2.2984723183251914
1782891391867396400,0.443396240234375,0.25766367871463297,0.010654665005207061,-2.3124679643213746
1782891391877418200,0.453418212890625,0.5829390044093131,0.18749065681397914,-2.211374465108663
1782891391887439400,0.463439453125,0.8848170879036188,0.398285032325983,-2.0713009546384216
1782891391897461500,0.47346142578125,1.2255927650690077,0.5918477025300264,-1.958617993788421
1782891391907483400,0.4834833984375,1.4916647911667822,0.6437748736441135,-1.8167548234224318
1782891391917505300,0.49350537109375,1.7672259456217287,0.6615899317979812,-1.9299251293979585
1782891391927527400,0.50352734375,2.0246073002636433,0.5645443928018212,-1.982441644707322
1782891391937549300,0.51354931640625,2.2327076143860816,0.4404515646651387,-2.009970141493529
1782891391947571200,0.5235712890625,2.469090604662895,0.3202358702227473,-2.1287977425783873
1782891391957593300,0.53359326171875,2.6750147437900305,0.20958324615657328,-2.2232073801130054
1782891391967615500,0.543615478515625,2.8282266989052296,0.03866115456670523,-2.220105322444439
1782891391977637400,0.553637451171875,2.9836972466021776,-0.13654782056212425,-2.171811685527116
1782891391987659500,0.563659423828125,3.185111214828491,-0.3096896340280771,-2.121866335880011
