acc_x_mean,acc_x_std,acc_x_var,acc_x_dom_freq,acc_x_spectral_energy,acc_y_mean,acc_y_std,acc_y_var,acc_y_dom_freq,acc_y_spectral_energy,acc_z_mean,acc_z_std,acc_z_var,acc_z_dom_freq,acc_z_spectral_energy,gyro_x_mean,gyro_x_std,gyro_x_var,gyro_x_dom_freq,gyro_x_spectral_energy,gyro_y_mean,gyro_y_std,gyro_y_var,gyro_y_dom_freq,gyro_y_spectral_energy,gyro_z_mean,gyro_z_std,gyro_z_var,gyro_z_dom_freq,gyro_z_spectral_energy,acc_sma,gyro_sma,acc_mag_mean,acc_mag_std,gyro_mag_mean,gyro_mag_std,acc_xy_corr,acc_xz_corr,acc_yz_corr,activity,state,start_time,end_time,split,recording
-0.35595981700049356,0.8215615381671664,0.6749633609956004,2.0,32.455328131914186,-0.1755630552736468,0.3939956276542108,0.15523255461063554,4.0,7.477934840380221,-0.01925515198331225,0.7596057176538068,0.5770008462923549,6.0,27.742026670785833,-0.2833937251640264,0.6535659344302376,0.42714843064766955,1.0,20.536358681205993,-0.46552156987764204,0.9874300922856527,0.9750181871512527,1.0,46.904301515044104,0.3257465813382904,0.6129921651092847,0.37575939448536855,1.0,18.085034638069946,1.312116359243981,1.283970286184695,0.8513313851927751,0.9166963363395122,0.828736521200279,1.2223972191764922,0.669772439322976,-0.27198910454000774,-0.7339766413448893,standing,0,0.0,0.9800000000000002,raw,standing_raw
-0.0968665815353904,0.08708303440151625,0.007583454880575663,3.0,0.3677174936728698,-0.19440056150128412,0.051649002310789394,0.002667619439699928,8.0,0.1290714727994718,-0.01146489183484995,0.1699154630909512,0.0288712645974124,8.0,1.3880987596833814,-0.011488627532777563,0.04181790474753149,0.0017487371574736166,1.0,0.08410858859374772,0.03144847574979485,0.09439374685808874,0.008910179445908937,2.0,0.4283865198873387,0.0049161787711400964,0.02606332790084061,0.0006792970612667366,4.0,0.03278456979785694,0.42829559688436775,0.12432108727391482,0.27750486494021753,0.09705434316583371,0.09037377380099637,0.06569595632074912,0.42857190150561886,-0.22640911458579677,-0.2433834107061348,standing,0,0.5000000000000001,1.4800000000000002,raw,standing_raw
-0.08390164328527694,0.0713665141404616,0.005093179340560707,3.0,0.24493989204231442,-0.18081778847841323,0.04490420434692277,0.0020163875680301977,1.0,0.09704894257433481,-0.014820512642486214,0.1134361672239416,0.012867764034458043,3.0,0.6190732883163614,0.004822010301083207,0.03070367061568316,0.0009427153892763655,3.0,0.04534318049927558,-0.0073112555053658455,0.04574536055333154,0.002092638012154301,3.0,0.10060760631978125,0.009949517708071131,0.024755397325530677,0.0006128296967448913,1.0,0.02947499138763952,0.36111852580276055,0.07351540567933344,0.23818160860441304,0.05657789530234657,0.048662559762055475,0.038155438912580386,0.13677489955621572,-0.1517697978719199,-0.2164378584677747,standing,0,1.0000000000000002,1.9800000000000006,raw,standing_raw
-0.08744953672132913,0.044884343441655136,0.0020146042861884502,8.0,0.09688053676186438,-0.17288900547837951,0.03932041492643527,0.0015460950299870332,5.0,0.0744119228623453,0.009484009060499687,0.10707298667756651,0.011464624476054336,4.0,0.5513194572047739,0.005826876199874447,0.022927725703216738,0.0005256806059219455,8.0,0.025304552332938754,0.0012466373337687157,0.02601181161275989,0.0006766143433777104,4.0,0.032547378858135086,-0.0016310858311382303,0.017241871524646426,0.0002972821336724133,1.0,0.014295324916331368,0.3411983779010934,0.050300485598374765,0.2233070622440049,0.05279446808255404,0.03393343403106311,0.019653655377835092,-0.08114060196424898,-0.15871230118982838,-0.3574001558470293,standing,0,1.5000000000000002,2.4800000000000004,raw,standing_raw
-0.08939485330127787,0.05446717144352091,0.0029666727650578995,3.0,0.14263896526595962,-0.18762759176591687,0.03902318897744647,0.0015228092779694998,10.0,0.07321271894252614,-0.012742191079320904,0.09230995659315032,0.008521128086229296,8.0,0.4097015646884086,0.008189375169654763,0.02375382754793783,0.0005642443231771701,8.0,0.027127170142104293,-0.005705012420727034,0.029235119487304447,0.0008546922114369683,2.0,0.041091914869849026,0.004971996181023127,0.018357873133990413,0.000337011506003687,1.0,0.016209959648842812,0.3538696113911202,0.0569301162297702,0.23221816015289565,0.049429269128698,0.037735062045157315,0.021362277769003693,0.003086226523043183,0.03767508104246478,-0.35953788523103536,standing,0,2.0,2.9800000000000004,raw,standing_raw
-0.08925921461549613,0.07135291547564636,0.0050912385468747335,3.0,0.2448990192291638,-0.1811040084186134,0.04086270121072954,0.0016697603502373575,4.0,0.08027706328072712,-0.01589452776502264,0.07617853312324682,0.0058031689088096135,10.0,0.27930176027281833,0.013804872051436847,0.02069128499537745,0.0004281292747599321,6.0,0.020583387138971895,-0.02106445852929368,0.024675244974155564,0.0006088677145345894,2.0,0.02927325169607903,0.019588332113148147,0.018753794622826638,0.0003517048127551613,2.0,0.01691338532222583,0.33936726704489645,0.06822493016936178,0.22695944506372762,0.045520142511024486,0.04460146571144166,0.02043036267188233,-0.2196118281371191,0.25435278520691373,-0.21355144150270805,standing,0,2.5,3.4800000000000004,raw,standing_raw
-0.07760588381399983,0.0698716718371922,0.004882050525324278,6.0,0.23483778750629802,-0.17038877065756577,0.02835330405014487,0.0008039098505599616,2.0,0.03864957786276309,0.0029207983530810276,0.07504503525200591,0.00563175731597481,5.0,0.270951600898403,0.007703022363162384,0.022236747053592555,0.0004944729195254572,5.0,0.023775856212465328,-0.01482395287315564,0.029536587752668392,0.0008724100160710806,2.0,0.041995025328828636,0.008746262527004991,0.02019969035566195,0.00040802749046462235,1.0,0.019637625361325847,0.3188112425902703,0.06258618281733973,0.21264071933757978,0.03413472723230163,0.041419085449814895,0.020370395849523975,-0.14604201631721514,0.25220143303138026,-0.1776841693927978,standing,0,3.0,3.9800000000000004,raw,standing_raw
-0.07807492308183238,0.06645315120772247,0.004416021305436425,5.0,0.21259576884986975,-0.17674278143229571,0.03537605527481256,0.0012514652868065934,2.0,0.060186575378666535,0.0023184072753872752,0.07830127813036895,0.006131090156849395,8.0,0.2947640004125693,0.000312336408905831,0.01878120912207823,0.00035273381608723445,8.0,0.01697811690878572,0.005283578697280848,0.02650069614362251,0.000702286896096609,2.0,0.03376397881143862,-0.005799584746230878,0.011867280281364134,0.000140832341276454,5.0,0.006798722301338162,0.3278576696913821,0.04843767219067032,0.21809524208289197,0.03964998795523205,0.03176457963728995,0.015764310166891688,-0.04144295772564954,0.1369461835682206,-0.0699183680222701,standing,0,3.500000000000001,4.48,raw,standing_raw
-0.09121035011617225,0.06295770448448956,0.003963672553956317,5.0,0.1905688718567906,-0.1818862637175256,0.038100346095098256,0.001451636372566269,6.0,0.06985502254903547,-0.004049348391913174,0.07307138929596649,0.005339427933642686,9.0,0.257004014166082,-0.006568532634633496,0.016845025706487868,0.00028375489105223703,1.0,0.013642107740743474,0.011258222975148405,0.017004500507147694,0.00028915303749758615,1.0,0.01390169343656359,-0.0016435362557284006,0.01573873624747415,0.0002477078186675566,1.0,0.011909064484511041,0.3401118836886219,0.045332722590702576,0.22481163517127636,0.040407965447635266,0.029022697921008,0.012283858089281086,-0.051497163291515345,0.08183236893386002,-0.2806091280514433,standing,0,4.000000000000001,4.980000000000001,raw,standing_raw
-0.0855397490801636,0.04980466148364386,0.0024805043055003586,5.0,0.11940191651592359,-0.1711537437350395,0.03432536721419831,0.00117823083438956,1.0,0.056654326605407715,-0.0048745566808521355,0.08685681262553895,0.0075441058994679825,7.0,0.36339010776816555,-0.006768901087005046,0.021225380382778634,0.0004505167723936441,9.0,0.021672870949150554,0.0019044488120409802,0.020237480064898464,0.0004095555993771627,1.0,0.019691899560140246,0.0069293675996724945,0.013067727080643418,0.00017076549105418136,2.0,0.008210543971346343,0.3271869088262185,0.04818698937263097,0.21382528720919478,0.046000016949073394,0.03123274259898685,0.012361825718928151,0.27523061234203033,-0.07474092473212231,-0.2590891020701146,standing,0,4.500000000000001,5.480000000000001,raw,standing_raw
