,standing,walking,jumping,still
standing,0.9362745098039543,0.053921568627436765,0.004901960784304327,0.004901960784304327
walking,0.04910714285719813,0.8973214285714217,0.04910714285709663,0.004464285714283357
jumping,0.004672897196265555,0.004672897196265555,0.9392523364485903,0.0514018691588786
still,0.005154639175259303,0.005154639175259303,0.005154639175259303,0.9845360824742221
