seconds_elapsed,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,recording
0.0,0.1922340519487857,-0.2355412787556648,0.2574292854368686,0.0149047328159213,-0.189632385969162,-0.056058507412672,standing,standing_unseen
0.020000000000000004,0.4162257222466165,-0.1989513075902653,0.2822935160358781,0.004289632840320201,-0.2373447448777513,-0.03112706179287046,standing,standing_unseen
0.04000000000000001,0.05060110724084607,-0.12363606080361084,0.14437648975566691,-0.04695571481310351,-0.32561135985383743,-0.06701437934198566,standing,standing_unseen
0.060000000000000026,-0.05020124124524976,-0.041272277221334586,-0.08009511104253811,-0.10922198009494889,-0.3624588099390602,-0.11375306465827804,standing,standing_unseen
0.08000000000000002,0.12521696478416267,-0.09228892973812847,-0.5451098756732944,-0.10109591424266975,-0.2477989460403497,-0.09026663338995579,standing,standing_unseen
0.1,0.17541436424531698,-0.1281433013630626,-0.8535284921330644,-0.027160337440143068,-0.01790574255495815,-0.03479135644212633,standing,standing_unseen
0.12000000000000002,0.18084394935939405,-0.2333138360259283,-0.521106814018039,-0.04118997577763238,0.07030530670701453,0.0032620089359442495,standing,standing_unseen
0.14,0.13018792337078292,-0.2279272755042896,-0.2485834679016815,-0.08047059694453569,0.058230083283408146,0.016433678711335553,standing,standing_unseen
0.16000000000000003,0.11762152938300047,-0.22342937150392267,-0.2619991247155013,-0.06754126550052073,0.054468387319930874,0.02170692521335798,standing,standing_unseen
0.18000000000000002,0.12858294668578418,-0.17313260822516352,-0.2100542239678872,-0.016946328723490223,0.09689381602327447,0.03030718481510509,standing,standing_unseen
0.20000000000000004,0.15069334859804057,-0.17016297537824043,-0.012449512235487653,-0.0018233790472990895,0.05765307848164445,0.01927956273729675,standing,standing_unseen
0.22000000000000006,0.17552557942608815,-0.12631502785501134,0.09534172052713716,0.01187560920206629,0.011951311035875918,0.019459747133578707,standing,standing_unseen
0.24000000000000007,0.12273209526629583,-0.08883218204949035,-0.17417903345520924,0.07414920342199056,0.031061288955486443,0.009569529625706109,standing,standing_unseen
0.2600000000000001,0.11576903908092714,-0.06968441519486337,0.06062832204560531,0.03259218311456121,-0.023776303186561563,-0.002895832918156938,standing,standing_unseen
0.28,0.12195349295778395,-0.06416855303445283,-0.013757357418779675,-0.016931756362953323,-0.09307138450267133,-0.009348398637081064,standing,standing_unseen
0.30000000000000004,0.07533130155962936,-0.11873878086206961,-0.3716072305927991,0.0030980146443301618,-0.05469855215350529,-0.004269066529709173,standing,standing_unseen
0.32000000000000006,0.061715720745174334,-0.11571528571213366,-0.25439457148212374,-0.00726396888195017,-0.02356974550739524,-0.004450031792754579,standing,standing_unseen
0.3400000000000001,0.10310837223143914,-0.08544480104878498,-0.1717418200757429,-0.02948004107237151,-0.0053199066697016285,-0.0011374747453099905,standing,standing_unseen
0.3600000000000001,0.11191976179191689,-0.16245779505608138,-0.3507039193585332,-0.005460896064106352,0.029950032892426086,-0.0014666812124514473,standing,standing_unseen
0.3800000000000001,0.18194662535336265,-0.19320189153352713,-0.19837999297086745,0.0018348394565144348,0.04916367533508625,0.007853986241705291,standing,standing_unseen
0.40000000000000013,0.15759880099618756,-0.2316212872044586,-0.13367226837948334,0.005168745593121317,0.021980710000425778,0.006493118830426746,standing,standing_unseen
0.42000000000000015,0.17637007553466222,-0.16028416805848908,-0.0289528054617602,0.0033160003061423714,0.0033596438213018675,0.00624400779561078,standing,standing_unseen
0.44000000000000006,0.1805694209744746,-0.18271856273657316,-0.10480660663836272,0.005780369531721681,-0.022466139163840097,-0.0012211799462003576,standing,standing_unseen
0.4600000000000001,0.17325732216794518,-0.12608320058222064,-0.12816063675870912,0.005236258047715639,-0.018252042395025286,-0.005971942364502469,standing,standing_unseen
0.4800000000000001,0.10778778924059962,-0.105202401791692,-0.13141859731647743,0.0060343519386784105,0.009130802324803036,-0.008538252748388311,standing,standing_unseen
0.5000000000000001,0.12278887420184592,-0.11739686837982316,-0.19674662533581797,0.0030774795603783324,0.011813111948799228,-0.009827070892715228,standing,standing_unseen
0.5200000000000001,0.05082047612743729,-0.09022651003426077,-0.20599077519212985,-0.002322810214743394,0.008258981799727172,-0.015847554571981004,standing,standing_unseen
0.5400000000000001,0.055100432863918684,-0.09663042259523491,-0.21145737828995126,0.002944655948915277,0.015412787927085041,-0.011576231029805201,standing,standing_unseen
0.56,0.0823605067134962,-0.13054149016550548,-0.1695913074822954,0.014889486283793513,0.02546886790431896,-0.007803297220752823,standing,standing_unseen
0.5800000000000001,0.10420544312569116,-0.09568493376655837,-0.08074876321535447,0.01925746642579468,0.041841769952975956,-0.013190010991333209,standing,standing_unseen
0.6000000000000001,0.11688837287362128,-0.12461153239169476,0.029478299140821097,-0.003315661303329229,0.03288648518662205,-0.02655517979226691,standing,standing_unseen
0.6200000000000001,0.1441786892141911,-0.17109214704872866,-0.06748050599835685,-0.013098391833217057,0.008387024253164229,-0.029585934871315393,standing,standing_unseen
0.6400000000000001,0.1279737290788956,-0.1775478531683184,-0.24329816963671136,0.01099651318587699,0.009141335287034365,-0.030443588903523614,standing,standing_unseen
0.6600000000000001,0.13224876914276368,-0.14625914299027465,-0.20647215281905798,0.02747277464449911,0.026866893850076345,-0.02935095106622481,standing,standing_unseen
